<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026-03-10	17:00:00	5206.74	5226.42	5203.24	5223.52	8080	0	4
2026-03-10	17:15:00	5223.55	5228.66	5221.69	5225.83	7077	0	4
2026-03-10	17:30:00	5225.81	5236.58	5225.26	5235.85	7556	0	4
2026-03-10	17:45:00	5235.85	5238.55	5226.99	5228.62	7012	0	4
2026-03-10	18:00:00	5228.65	5230.48	5222.64	5223.56	6098	0	4
2026-03-10	18:15:00	5223.56	5235.58	5222.72	5232.25	5850	0	4
2026-03-10	18:30:00	5232.46	5234.62	5227.26	5228.61	5388	0	4
2026-03-10	18:45:00	5228.61	5232.07	5226.01	5227.65	5375	0	4
2026-03-10	19:00:00	5227.68	5235.46	5226.95	5234.15	5201	0	4
2026-03-10	19:15:00	5234.34	5234.45	5223.61	5233.21	7506	0	4
2026-03-10	19:30:00	5233.28	5234.76	5227.53	5228.11	6633	0	4
2026-03-10	19:45:00	5228.1	5232.84	5226.42	5227.6	5096	0	4
2026-03-10	20:00:00	5227.6	5228.12	5215.44	5216.03	6470	0	4
2026-03-10	20:15:00	5216.03	5218.52	5160.75	5202.94	14575	0	4
2026-03-10	20:30:00	5202.94	5208.06	5189.96	5195.51	9696	0	4
2026-03-10	20:45:00	5195.1	5205.06	5190.92	5191.78	7269	0	4
2026-03-10	21:00:00	5191.78	5199.79	5184.25	5198.26	7431	0	4
2026-03-10	21:15:00	5198.29	5207.68	5198.15	5200.92	6355	0	4
2026-03-10	21:30:00	5200.92	5200.92	5179.92	5187.79	8241	0	4
2026-03-10	21:45:00	5187.8	5199.83	5187.69	5198.87	7636	0	4
2026-03-10	22:00:00	5198.86	5199.09	5193.53	5197.85	2390	0	4
2026-03-10	22:15:00	5197.85	5198.65	5191.69	5195.01	2290	0	4
2026-03-10	22:30:00	5194.96	5198.02	5193.16	5197.95	1545	0	4
2026-03-10	22:45:00	5197.98	5198.96	5191.24	5191.41	2116	0	4
2026-03-10	23:00:00	5191.41	5191.41	5191.41	5191.41	1	0	140
2026-03-11	01:00:00	5189.2	5196.66	5188.52	5191.76	2213	0	4
2026-03-11	01:15:00	5191.75	5197.52	5187.69	5193.73	2117	0	4
2026-03-11	01:30:00	5193.73	5195.96	5190.6	5191.23	1731	0	4
2026-03-11	01:45:00	5191.22	5197.32	5187.98	5197.32	2354	0	4
2026-03-11	02:00:00	5197.31	5198.33	5186.83	5192.54	4208	0	4
2026-03-11	02:15:00	5192.54	5215.61	5191.4	5212.46	5180	0	4
2026-03-11	02:30:00	5212.44	5212.51	5206.03	5211.38	3325	0	4
2026-03-11	02:45:00	5211.38	5219.4	5211.26	5215.47	4187	0	4
2026-03-11	03:00:00	5215.47	5223.29	5212.24	5215.43	6825	0	4
2026-03-11	03:15:00	5215.37	5223.07	5210.72	5214.83	5540	0	4
2026-03-11	03:30:00	5214.84	5219.97	5212.73	5214.48	4978	0	4
2026-03-11	03:45:00	5214.48	5217.91	5208.52	5208.54	4733	0	4
2026-03-11	04:00:00	5208.54	5209.7	5194.22	5201.52	5974	0	4
2026-03-11	04:15:00	5201.52	5206.69	5200.51	5204.24	3742	0	4
2026-03-11	04:30:00	5204.26	5209.93	5202.0	5207.71	4538	0	4
2026-03-11	04:45:00	5207.68	5220.52	5207.68	5217.37	4599	0	4
2026-03-11	05:00:00	5217.4	5220.44	5211.9	5213.87	4311	0	4
2026-03-11	05:15:00	5213.86	5214.82	5204.59	5204.72	4107	0	4
2026-03-11	05:30:00	5204.72	5209.55	5203.75	5208.09	2641	0	4
2026-03-11	05:45:00	5208.08	5208.64	5199.28	5203.36	2999	0	4
2026-03-11	06:00:00	5203.36	5206.34	5199.48	5205.84	2331	0	4
2026-03-11	06:15:00	5205.82	5208.58	5204.58	5207.37	2117	0	4
